,Hütten-Name,Hütte-ID,Hut warden(s),Hut phone number,Total sleeping places,Height above sea level,Coordinates
169,"Cabane des Vignettes CAS, CAS Monte Rosa",226, Katrien & Alexandre, +41 27 283 13 22, 100, 3160 m, 602870 / 93140
170,"Salbithütte SAC, SAC Lindenberg",227, Walker Richard, 041 885 14 31, 58, 2105 m, 685180 / 170080
171,"Dammahütte SAC, SAC Pilatus",228, Andrin Kamber +41 41 885 17 81 andrin.kamber@bluewin.ch, 041 885 17 81, 20, 2439 m, 678020 / 16646
172,"Muttseehütte SAC, SAC Winterthur",229, Claudia Freitag, 055 643 32 12, 76, 2501 m, 720490 / 190800
173,"Oberetteshütte, AVS Matsch",230, Karin & Edwin Heinisch, +39 0473 830280, 89, 2670 m," N 46 45 53,268, E 10 42 40,300"
174,"Taschachhaus, DAV Sektion München",231, Christoph Eder und Barbara Klingseis, +43/(0)664-1384465, 150, 2434m," 46°54'34.6""N 10°49'03.2""E"
175,"Passauer Hütte, DAV Sektion Passau",232, Michael Faber, +43 680 50 72 624, 46, 2051 m, 47.474167 N / 12.750278 E
176,"Wiesbadener Hütte, DAV Sektion Wiesbaden",234, Emil Widmann, 0043 5558 4233, 180, 2.443 m, XXX.XXX / YYY.YYY
177,"Augsburger Hütte, DAV Sektion Augsburg",235, Christine Denk, +43 664 641 16 43, 59, 2298m, 47.166389 N 10.493611 E
178,"Tübinger Hütte, DAV Sektion Tübingen",236, DAV Tübingen, +4369010115793, 80, 2193," 46° 54' 42'' N, 10° 0' 12'' O"
179,"Neue Thüringer Hütte, Neue Thüringer Hütten Verein (DAV)",237, Andreas Eder, 00436644273214, 82, 2240 m, 47.172778 / 12.383333
180,"Vernagthütte, DAV Sektion Würzburg",238," Angelika und Martin Scheiber Wieshof 2, A-6458 Vent Hütte", +43(0)664-141-2119, 50 Betten 69 Matratzenlager, 2755 m, UTM 32T Ost
181,"Camona da Punteglias CAS, SAC Winterthur",240, Blöchlinger Ruedi & Brigitta, +41 (0)81 943 19 36, 30, 2311 m, 715884 / 181789
182,"Fergenhütte SAC, SAC Prättigau",241, Martina & Beat Michel, 079 848 08 25, 21, 2141 m, 792560 / 193970
183,"Seetalhütte SAC, SAC Prättigau",242, Simona & Andreas Bernet, +41 76 545 82 82, 12, 2065 m, 795950 / 194630
184,"Lobhornhütte, SAC Lauterbrunnen",243, Christine Stalder, +41 79 656 53 20, 24, 1955 m, 632970 / 163110
185,"Spannorthütte SAC, SAC Uto",244, Ott Andy, 041 637 34 80, im Winter 9 (Hütte unbewartet) / Sommer max. 40, 1956 m, 681770 / 183740
186,"Ramozhütte SAC, SAC Arosa",246, Karin Bächinger, 081 356 55 02, 23, 2293 m, 768530 / 177890
187,"Rieder Hütte, Alpenverein Ried im Innkreis",248, Günter Hausjell, +43 6133 93013, 36, 1.765 m, UTM Y 5.295.390 / UTM X 400.873
188,"Ybbstaler Hütte, Alpenverein Austria",253, Inge Wurzer, +43/664/9886801, 50, 1343 m, N 47° 48.455 E 15° 01.504
189,Bifertenhütte AACB,254, Regina Köhle +41 79 568 20 16, +41 81 941 23 36, 23, 2482 m," 2721176, 1186047"
190,"Hütte Hammer, DAV Sektion München",256, Michaela & Tobias Geyer, +49/(0)8028-905386, 16, 750 m," 47°42'13.4""N 11°56'24.6""E"
191,"Hochfeilerhütte, AVS Sterzing",257, Andreas Hernegger, +39 0472 674420, 94, 2715 m," N 46 57 43,776, E 11 42 30,540"
192,"Jonsdorfer Hütte, DAV Sektion Zittau",258, Burkhard Fiebiger, 035844 204878, 22, 452 m, 50.8513 / 14.6952
193,"Voralphütte SAC, SAC Uto",259, Sepp Herger, 041 887 04 20, 40, 2126 m, 2680246 / 1171578
194,"Guttenberghaus, Alpenverein Austria",260, Günter Perhab, +43368781345, 65, 2146 m, 525.6101 / 400.783
195,"Austriahütte, Alpenverein Austria",262, Jeannette Pankratz Christoph Weninger, 06767063836, 59, 1638 m, 5255309 / 395916
196,"Winteregghütte, SAC Biel",263, Urs Vogt +41 79 915 19 16, -, 30, 1897 m, 616225 / 145450
197,"Binntalhütte SAC, SAC Delemont",264, Antoinette Cortat (Binntal Reservation), +41 27 971 47 97, 50, 2267 m, 665.650 / 136.280
198,"Zittauerhütte, Alpenverein Warnsdorf-Krimml",266, Familie Barbara und Hannes Kogler Oberkrimml 109 A - 5743 KRIMML, +43 (0) 6648732205, 67, 2.328 m, UTM (Y) 5227245 / UTM (X) 282029
199,"Wolayerseehütte, Alpenverein Austria",267, Helmut Ortner, +43 720 346141, 64, 1.960 m, UTM Y 5.164.290 / UTM X 336.675
200,"Obstanserseehütte, Alpenverein Austria",268, Heinz Bodner, +4348485422, 60, 2304 m, 46° 41′ 4″ N / 12° 29′ 37″ O
201,"Sewenhütte SAC, SAC Pfannenstiel",269, Gehrig-Gisler Walti und Ursi, +41 (0)41 885 18 72, 60, 2150 m, 2682709 / 1177837
202,"Prinz-Luitpoldhaus, DAV Sektion Allgäu-Immenstadt",270, Christoph und Ulrike Erd, -, 268, 1846 m, 47.392500 N 10.420000 E
203,"Kaunergrathütte, DAV Sektion Mainz",271, Michael Dobler, +43 664 144 0627, 69, 2.817 m," 46.993889, 10.806944"
204,"Millstätter Hütte, Alpenverein Millstatt",273, Edith Widmann, 0043-664-73633439, 24, 1.880 m, UTM Y 5189256 / UTM X 392807
205,"Kröntenhütte SAC, SAC Gotthard",274, Markus+Irene Wyrsch, 041 880 01 22, 80, 1903 m, 2686780 / 1183840
206,"Neue Regensburger Hütte, DAV Sektion Regensburg",275, Familie Martina und Herbert Ofer, 0043-(0)664-2025070, 101, 2286 m," 47,054626N 11,198436E"
207,"Sesvennahütte, AVS Mals, Lana, Untervinschgau",276, Markus Waldner Michaela Abarth, 00390473830234, 45 (Corona bedingt), 2262 m," N 46 44 04,498, E 10 26 07,431"
208,"Cabane de l'A Neuve CAS, CAS Diablerets",277, Martine Gabioud, 027 783 24 24, 20, 2735 m, 2571170/1088650
209,"Cabane du Mountet CAS, CAS Diablerets",278, Perrine Grand, 027 475 14 31, 100, 2886 m, 2616630/1100960
210,"Cabane d'Orny CAS, CAS Diablerets",279, Angeloz Yanik, 027 783 18 87, 60, 2831 m, 2570880/1094550
211,"Cabane Rambert CAS, CAS Diablerets",280, Christelle Beaudet & Pascal Snoeck, +41 27 207 11 22, 38, 2582 m, 2576510/1119910
212,"Cabane du Trient CAS, CAS Diablerets",281, Genet Mélanie et Olivier, 027 783 14 38, 121, 3170 m, 2569400/1094300
213,"Haus Hammer, DAV Sektion München",282, Michaela & Tobias Geyer, +49/(0)8028-905386, 81, 750 m," 47°42'13.4""N 11°56'24.6""E"
214,"Potsdamer Hütte, DAV Sektion Dinkelsbühl",283, Miriam und Markus Wiechert, 0043-720-316585, 40, 2020 m, 32T Ost 0667467?/?Nord 5223421
215,"Schlernbödelehütte, AVS Bozen + Schlern",284, Verena Wolf Federspieler, +39 0471 1885169, 20, 1693 m," N 46 31 19,682, E 11 35 01,694"
216,"Radlseehütte, AVS Brixen",285, Fam. Leitner, +39 0472 855230, 50, 2284 m," N 46 42 28,491, E 11 34 48,406"
217,"Brunnenkopfhäuser, DAV Sektion Bergland",286, Christian Deser, +49/(0)175-6540155, 26, 1602 m, UTM
218,"Soiernhaus, DAV Sektion Hochland",287, Susanne & Klaus Heufelder, +49 171 5465858, 45, 1616m," 47° 29′ 37,6″ N , 11° 20′ 55,1″ O"
219,"Bivouac de l'Envers des Dorées, CAS Dent-de-Lys",288, Gilbert Maillard - intendant, 079 379 61 92, 14, 2983 m, 569.780 / 092.100
220,Chamanna Georgy,290, Simi Egli & Patty Birrer, 0796272016, 20, 3175 m," 46.487882, 9.955766"
221,Capanna Gorda,291, Nadia e Alan Ochsner, +41 79 504 38 46, 28, 1800 m, 713.010 / 150.690
222,"Kürsingerhütte, Alpenverein Salzburg",292, Siegfried Karl, +43 720 920 444, 140, 2558 m, UTM Nord 5222340 / UTM Ost 295202
223,"Carl-von-Stahl-Haus, Alpenverein Salzburg",293, Peter Pruckner, +49 8652 6559922, 102, 1736hm," 47.574750, 13.042617"
224,"Dr.Heinrich-Hackel-Hütte, Alpenverein Salzburg",294, Peter und Ileana Brandauer, 06643429114, 23, 1.550m, 47.484067 / 13.290367
225,"Zeppezauerhaus, Alpenverein Salzburg",295, Uschi Klumaier-Wiebecke & Anton Langer, +43 (0)662 629862, 36, 1.663," N47° 43,470' / E13° 00,433'"
226,"Lindauer Hütte, DAV Sektion Lindau",297, Manfred Sprung, 0043 664 50 33 456, 164, 1744 m," 47° 2′ 4″ N, 9° 50′ 8″ O"
227,"Württembergerhaus, DAV Sektion Stuttgart",298, Walch Andrea, +43676 3975189, 50, 2220m, XXX.XXX / YYY.YYY
228,"Oberwalderhütte, Alpenverein Austria",300, Bernd Fürhapter, +43 660 1308530, 110, 2.973 m, UTM Y 5219394 / UTM X 326667
229,"Alpenrose-Hütte Zillertal, Privat",303, -, 06641670391, 80, 1878m, 4705580/1148320
230,"Staldenmaadhütte, SAC Kirchberg",304, Peter Baumberger, 079 607 10 77, 38, 1120 m, 604.670 / 160.530
231,"Tierberglihütte SAC, SAC Baselland",305, Toni Flühmann Nina Reinschmidt, 033 971 27 82, 72, 2795 m, 674'600 / 172'768
232,"Hesshütte, Alpenverein Austria",306, Kazimiera Kozik, +43361121109, 125, 1.699 m, UTM Y
233,"Vorderkaiserfeldenhütte, DAV Sektion Oberland",307, -Helmut und Sabine Kuen, -0043/5372/63482, 54, 1389 m," 47° 36? 21? N, 12° 14? 21? O"
234,"Schönbielhütte SAC, SAC Monte Rosa",308, Yolanda + Fredy Biner-Perren, 027 967 13 54, 75, 2694 m, 614.750 / 094.510
235,"Saarbrücker Hütte, DAV Sektion Saarbrücken",309, Stefan Schöpf, 0043/6508301434, 79, 2538, XXX.XXX / YYY.YYY
236,"Dreischusterhütte, AVS Drei Zinnen",310, Alfred Innerkofler, +39 0474 966610, 47, 1639 m," N 46 40 28,333 E 12 17 50,087"
237,"Cabane du Mont d’Or, CAS Vallorbe",311, Stéphane Gueissaz, +41 78/600.58.85, 20, 1377 m, 2.517.581 / 1.175.185
238,"Gruebenhütte AACBs, AACBs",312, Severin Karrer, 079 280 79 63, 16, 2512 m, 662'874.20 / 161'958.28
239,Murgseehütte,314, Franz und Claudia Preis, +41 81 511 03 63, 42, 1818 m, 730'609.26 / 211'220.27
240,"Fraganter Schutzhaus, Alpenverein Klagenfurt",316, Bianca Tiefnig, +43 (0) 4785 396, 96, 1.810 m," 46° 57? 4? N, 13° 1? 41? O"
241,"Franz Fischer Hütte, Alpenverein Lungau",317, Evelyn Faber & Tom Burger, 0043 664 7957960, 34, 2020 m," 47° 11′ 55″ N, 13° 21′ 52″ O"
242,"Vermigel, SAC Zofingen",318, Hüttenteam, 041 887 17 73, 34, 2042 m, 693 440 / 161 090
243,"Niedersachsenhaus, DAV Sektion Hannover",319, Sieglinde Rieser & Josef Langreiter, +43 664 88 192 505, 60, 2.471 m," 47.060278,13.010278"
244,"Innsbrucker Hütte, Alpenverein TK Innsbruck",320, Familie Marlene & Franz Egger, 0043 5276 295, 110, 2.369 m, 47.043137 / 11.310835
245,"Erfurter Hütte, DAV Sektion Ettlingen",323, Raimund Pranger, +4352435517, 83, 1834 m," 47° 26? 30? N, 11° 45? 47? O"
246,"Traunsteiner Skihütte/ Winklmoosalm, DAV Sektion Traunstein",324, Marko Achilles, 08640 8140, 29, 1160 m, 47.6589879/12.585707036147
247,"Sunnehüsi, SAC Blümlisalp",326, Franziska Baier, +41 78 810 60 16, 18, 1125 m, 600575 / 165745
248,"Schneibsteinhaus, DAV Sektion Berchtesgaden",327, Stefan & Bernadette Lienbacher, +49 (0) 8652 - 2596, 66, 1.670 m, N 47.572147 E 13.039249
249,"Hochweißsteinhaus, Alpenverein Austria",328, Marian Guggenberger, +43 676 746 2886, 50, 1.868 m, 5167964 327067 33T WGS 84
250,"Clubhaus Metsch, SAC Huttwil",330, Armin Leuenberger Bäreggstrasse 29 4900 Langenthal, +41 79 632 93 53, 16, 1775 m, 613.262 / 150.819
251,"Medelserhütte SAC, SAC Uto",332, Jochen Schirmann und Verena Kuhle, +41 81 949 14 03, 51 (im Winter reduziert, 2524 m, 712'940 / 166'540
252,"Cabane du Fenestral, Ski Club Chavalard",333, gardiens bénévoles / responsable, 027 746 28 00, 34, 2453 m, 573'910 / 115'330
253,"Rothornhütte SAC, SAC Oberaargau",334, Brielmaier Daniela, +41 79 132 12 05, 68 (+12 Winterraum), 3198 m, 620025 / 99715
254,Refuge Giacomini,335, Rodolphe Muller, +41 (0)24 498 22 95, 23x en chambre/Zimmer/room + 35x en dortoir/Schlafraum/dormitory, 1'893 m, 578.683 / 126.351
255,"Prielschutzhaus, Alpenverein TK Linz",336, Michael Heinrich GmbH, +43-7564-20602, 150, 1420 m," 47° 42,293' / 14° 04,925'"
256,Zsigmondyhütte (Rif. Comici),337, Tania und Alex Happacher Tel. +39 0474 646273 oder +39 0474 710358, +390474 710358, 75, 2224 m," N 46 37 42,269 E 12 21 28,317"
257,"Mittellegihütte, Bergführerverein Grindelwald",338, Mirjam Feuz, +41 33 853 03 66, 38, 3355 m, 644759 / 159290
258,Alp Rohr Berggasthaus,339, Angelika Weisser, 081 757 11 39, 22, 1215 m, 2’754’232?/?1’234’902
259,"Monte-Leone-Hütte SAC, CAS Sommartel",340, -, +41 (0) 79 934 97 32, 20, 2848 m, 649'480 / 123'460
260,"Rifugio Saoseo CAS, SAC Bernina",341, Chatrina & Gigi Murtas, +41 81 844 07 66, 68, 1985 m, 806088 / 141926
261,"Glorer Hütte, DAV Sektion Eichstätt",342, Wolfgang Heinz, +43 664 3032200, 48, 2.642 m," N 47° 01' 51"" / E 12° 42' 56"""
262,"Hochleckenhaus, Alpenverein Vöcklabruck",343, Martin Gruber Eva Fahrenberger, +43 660 1173017, 55, 1.572 m, UTM
263,"Jugendbildungsstätte Winterraum, JDAV",344, Florian Bischof & Samuel Levermann, 08324-930113, 8, 857 m, XXX.XXX / YYY.YYY
264,Aljažev Dom,345, PD Dovje Mojstrana, + 386 51 665 738, 96, 1015 m, 46.409026 / 13.843450
265,"Berghaus Alpenrösli, 7246 St. Antönien",347, Markus Zimmerling BEI FRAGEN 081 332 12 18, +41 81 332 12 18, 63, 1776 m, 783'973.60 / 208'090.41
266,"Schalijochbiwak SAC, SAC Basel",348, unbewartet, -, 8, 3786 m, 620950 / 104680
267,"Baltschiederklause SAC, SAC Blümlisalp",349, Jolanda Stettler, +41 79 541 65 75, 71, 2783 m, 634.700 / 138.280
268,"Fromatthütte, SAC Wildhorn",350, Heidi Gempeler, kein Hüttentelefon, 25 (Bei Vollbesetzung enge Platzverhältnisse ! ), 1800 m, 599'550 / 154'930
269,"Schneealpenhaus, Alpenverein Gebirgsverein",353, Thomas Eder Michael Fischer, 03857/2190, 38, 1788m," 47° 41,781'/15° 36,573'"
270,"Falkenhütte, DAV Sektion Oberland",354, Claudia & Robert Rackwitz-Hartmann, -, 138, 1848 m," 47.400031, 11.498835"
271,"Ennstaler Hütte, Alpenverein Steyr",355, Burgi und Ernst Brunnmayr, +43 664 4901737, 65, 1543 m, 475.684 / 5.274.019
272,"Hochschoberhütte, Alpenverein Edelweiss",356, Harry Lucca, 0043 4853 52163, 48, 2322 m, UTM Nord 5.199.422 / Ost 324.850
273,Poštarski dom na Vršiču,357, Benjamin Jelenc, + 386 (0) 41 610 029, 50, 1688m," 46,432414 / 13,747599"
274,Zasavska koča na Prehodavcih,358, Tea Dernovšek, +386 51 614 781, 63, 2071 m," 46,358529 / 13,792261"
275,Koča na Planini pri Jezeru,359, Dušan Habjani?, +386 51 632 738, 80, 1453 m," 46,309708 / 13,827740"
276,Dom Planika pod Triglavom,361, Mira Stiher, +386 51 614 773, 143, 2408 m," 46,371372 / 13,846077"
277,"Clubheim Fälensee, SAC St. Gallen",363, Unbewartete Privathütte SAC St.Gallen, -, 34, 1527 m, 750400 / 235550
278,Pogačnikov dom na Kriških podih,364, Manca Dostal, 04 828 13 00, 88, 2050 m, 46.401965 / 13.800577
279,"Braunschweiger Hütte, DAV Sektion Braunschweig",366, Melanie und Stefan Neurauter, 0043664 2012013, 175, 2.759m," 46° 56? 6? N, 10° 54? 33? E 46.935°, 10.909167°"
280,Vodnikov dom na Velem polju,368, -, +386 4 828 03 04, 78, 1817 m," 46,355914 / 13,761358"
281,"Hildesheimer Hütte, DAV Sektion Hildesheim",369, Anna Kuisle, +43 5254 2300, 70, 2.899 m," 46°57'58.0""N 11°07'08.0""E"
282,"Zapporthütte SAC, SAC Rätia",371, Trutmann Martin, +41816641496, 20, 2276 m, 727.060 / 151.200
283,"Wolfratshauser Hütte, DAV Sektion Wolfratshausen",372, Mathias Lehner, +43 676 5996064, 42, 1752 m," N47,3910 / E010,8488"
284,"Kreuzeckhaus, DAV Sektion Garmisch-Patenkirchen",373, Katrin Rödel & Florian Krempl, +49 8821 2202, 101, 1652 m, 655749 / 5257486
285,"Hollandiahütte SAC, SAC Bern",374, Gisela Teuscher & Sabrina Kaufmann, +41 27 939 11 35, 84, 3238 m, 640'060 / 147'240
286,"Hexenseehütte, DAV Sektion Köln",377, Hangl Anja Kerscher Walter, 054766214, Sommer 22 / Winter 12, 2588," 47° 1′ 7,8″ N , 10° 28′ 52,2″ O"
287,"Mischabeljochbiwak SAC, CAS Genevoise",378, Renaud Marc, +41 (0)79 205 22 52, 24, 3855 m, 633'080 / 102'560
288,"Cabane de Chanrion CAS, CAS Genevoise",379, Sophie Voutaz et Olivier Seidler, +41 27 778 12 09, 55, 2462 m, 595523 / 87513
289,"Arbenbiwak SAC, SAC Zermatt",381, Rinaldo Amacker, +41 79 409 06 44, 15, 3224 m, 617.780 / 97.780
290,"Feichtauhütte, Alpenverein Molln-Steyrtal",383, Gerald Kammerhuber, 0664 7346 5776, 20, 1360 m," 47.801406, 14.317450"
291,"Hochsengsbiwak, Alpenverein Molln-Steyrtal",384, Reinhard EDER, -, 6, 1583 m, 5293324/444244
292,"Neue Fürther Hütte, DAV Sektion Fürth",385, Roland Schett, 0043 (0)7205002620, 82, 2201 m, 47.1654 / 12.4245
293,"Chamanna Coaz CAS, SAC Rätia",386, Ruedi + Ursula Schranz, +41 81 842 62 78, 74, 2610 m, 784.360 / 139.740
294,"Sylvan-Hütte, DAV Sektion Main-Spessart",387, Johannes Kleineberg Mobil +49 151 466 268 64* Ehrenamt! sylvan@dav-main-spessart.de, kein Telefon!, 1, 374 m," 49°54'08"" N / 9°28'45"" E"
295,"Hüfihütte SAC, SAC Pilatus",388, Silvia und Peter Bernhard, +41 41 885 14 75, 32, 2334 m, 705.360 / 184.330
296,"Brixner Hütte, AVS Brixen",389," Simon, Christoph, Magdalena", +39 371 439 08 48, 20, 2282 m," N 46 54 46,561, E 11 37 13,439"
297,"Rudolf Schober Hütte, Alpenverein Stuhlecker",390, Markus Arzberger, +43720513907, 23, 1667 m, 47.252 / 13.974
298,"Chamanna da Boval CAS, SAC Bernina",391, Roberto Costa, +41 81 842 64 03, Sommer, 2495 m, 791151 / 143445
299,Douglasshütte,393, Mariette Schedler, 00436644412378, 144, 1.979 m, (47.059684/9.754765)
300,"Cabane d’Essertze, Ski Club Hérémencia",394, Gardiens bénévoles, +41 79 368 96 08, 25, 2191 m, 594.831 / 110.723
301,"Anhalter Hütte, DAV Sektion Oberer Neckar",395, Sebastian Wolf & Angelika Grünauer, +436606647428, 62 +12, 2040 m," 47° 18′ 5″ N, 10° 40′ 4″ O"
302,Valentinalm,396, -Bruno Neumayr, +436648419950," 9 Zweibettzimmer, 1 Vierbettzimmer, 13 Lagerplätze", 1215 m, 46.6816/13.0097
303,"Etzlihütte SAC, SAC Thurgau",398, Rita & Res Streiff-Arnold, +41 41 820 22 88, 74, 2052, 698089/175050
304,"Capanna Piansecco CAS, CAS Bellinzona e Valli",399, Team Piansecco - CAS Bellinzona e Valli, +41 (0)91 869 12 14, 46, 1982 m, 2679.296 / 1149.764
305,"Badener Hütte, Alpenverein Baden",401, Marco und Verena Steiner, +436649155666, 52, 2608 m, 47.08119 / 12.42568
306,"Preintalerhütte, Alpine Gesellschaft Preintaler",402, Rita und Wolfgang Höflehner, +436641448881, 144, 1656, 410.345/5240.778
307,"Rotondohütte SAC, SAC Lägern",404, Pia Biondi, +41 41 887 16 16, 75, 2571, 680.210 / 155.380
308,"Skihütte Elm, SAC Olten",405, Thomas Jäggin, +41 79 864 79 88, 15, 1745 m, 115.554 Km
309,"Cabane du Carroz, CAS Genevoise",406, Gardien.e.s bénévoles *la cabane est ouverte uniquement les weekends*, -, 22, 1508 m, 498.676/146.813
310,"Priener Hütte, DAV Sektion Prien",407, Rosa und Sebastian Lohrmann, 08057 428, 70, 1410 m," 47°42'07.0""N 12°19'40.0""E"
311,"Adolf Noßberger Hütte, Alpenverein Edelweiss",408, Christian Krüger, 0043 676 49 66 931, 20, 2488 m, UTM Nord 5.202.445 / Ost 331.169
312,"Gollinghütte, Alpine Gesellschaft Preintaler",410, Familie Reiter, +43 676 5336288, 104, 1643m," 47.286423°, 13.769432°"
313,"Rieserfernerhütte, AVS Bozen + Bruneck",412, Martin Nocker, +39/348/7055051, 59, 2798 m," N 46 53 24,071, E 12 04 46,022"
314,"Cabane Balavaux, Ski Club la Rosablanche",413, Christina Stewart, +41 27 306 52 88, 32, 2042 m, 46.157 / 7.278
315,"Kellerjochhütte, Alpenverein Schwaz",415, Claudia & Christian Lorenz, +436506112171, 26, 2237 m, 473167 117647
316,"Almtalerhaus, Alpenverein Wels",416, Tibor Szabo, +436642374442, 59, 714 m," 47.754889°, 14.017944°"
317,"Ski- und Ferienhaus Obergestelen, SAC Sektion Blümlisalp",417, Katrin & Bruno Reiss, +41 (0) 31 921 96 29, 30, 1800 m, 599'517 / 159’444
318,Domžalski dom Test,418, Lojze Ovija?, 031694134, 76, 1534 m, XXX.XXX / YYY.YYY
319,Capanna Poncione di Braga,419," Astrid Lorenzetti Richina (Presidente) Esther Perucchi (Vice-Presidente, responsabile riservazioni + 41 79 221 46 10)", + 41 79 374 36 71, 18, 2003 m, 687.140 / 142.575
320,Mischabelhütte AACZ,420, Maria Anthamatten, +41 (0) 27 957 13 17, 100, 3340 m, 634.811/106.533
321,"Habsburghaus, Alpenverein Gebirgsverein",424, Roland Krieber, 02665 219, 76, 1785 m," 47° 42,795'/ 15° 41,917'"
322,Capanna Tomeo,435, -, 0794852388, 28, 1739 m, 696.196 /135.738
323,"Cabane de la Dent Blanche CAS, CAS Jaman",436, George Zoganas, +41 27 283 10 85, 35, 3507 m, 612.564/096.534
324,"Lamsenjochhütte, DAV Sektion Oberland",437, Katrin Stadler, +43 5244 620 63, 126, 1953 m," 47.380067, 11.603557"
325,"Marteller Hütte, AVS Martell",442," Famiglia Nardelli
www.martellerhuette.com", +39 3355687235, 67, 2610 m," N 46 28 10,703, E 10 40 22,939"
326,"Grialetsch-Hütte SAC, SAC Davos",444, Tanja und Werner Schweizer, +41 81 416 34 36, 58, 2542 m, 2'792'814.500 / 1'176'308.375
327,"Cresta-Biwak SAC, SAC Sektion Saas",445,"
Emanuel Borter
unbewartet / non surveillé / non sorvegliata / unattended", +41 77 401 18 82, 6, 3025 m, 645800/099450
328,"Capanna Alpe Sponda, SAT Chiasso",447, Onorina Rossetti tel. 077.459.12.14, 091 864 23 52, 35, 1997 m, 703.570 / 141.580
329,Koča pod Bogatinom,448, Agata Šmid, 386 (0)4 828 03 05, 52, 1513 m," 46,287727 / 13,763278"
330,Cojzova koča,449, Tomaž Bolcar, +386 8 1615 115, 87, 1793m," 46,34405007 / 14,54691064"
331,Kamniška koča,450, Iztok Kolenc, +3868 16 14 989, 54, 1864," 46,35914565 / 14,59742838"
332,"Neue Traunsteiner Hütte, DAV Sektion Traunstein",452, Jessi und Udo Weidner, 00491714378919, 80, 1560 m, 47°37´41.37``N 12°48`03.34``E
333,"Lämmerenhütte SAC, SAC Angenstein",453, Barbara & Christian Wäfler, +41 27 470 25 15, 90, 2502 m, 610.430 / 138.780
334,"Fusshornbiwak, Alpincenter Belalp",454, Belalp Alpin Center, +41774230808, 8, 2788 m, 643.860 / 140.907
335,"Heidelberger Hütte, DAV Sektion Heidelberg",456, Alois Eiter Bruckfeldweg 7b 6511 Zams, +43-664-4 25 30 70, 136, 2364 m," 46°54,583' / 10°15,567'"
336,Koča pri Triglavskih jezerih,457, Vanja Kobal, +386 40 620 783, 181, 1685, 46.31870282 / 13.77905991
337,Dom na Komni,459, Mateja Zupan, +386 40 620 784, 108, 1520, 46.28439783 / 13.77331939
338,Triglavski dom na Kredarici,460, Herman Uranič, +386 40 620 781, 319, 2515, 46.37892080 / 13.84882992
339,"Karl-Stein-Hütte, DAV Sektion Leipzig",461, Uwe Bechtel, -, 30, 144 m, N 50°57'35.74'/ E 14°3'34.59'
340,"Sillianer Hütte, Alpenverein Sillian",466, Viktoria Maurer Sillian 2d/1 9920 Sillian, +436645323802, 68, 2447müA," 46° 42,368'/12° 24,383'"
341,Alpwirtschaft Tanzboden,467, Michaela Hug und Christoph Tresch, +41 55 283 12 18, 17, 1443 m, X / Y
342,"Kelchalm (Bochumer Hütte), DAV Sektion Bochum",468, Ilona Hultsch, +43 (0)5356 20299, 58, 1432 m," 47°23'12.0""N 12°27'53.0""E"
343,"Sonnschienhütte, Alpenverein Austria",469, Birgit & Markus Heidegger, 06601541450, 61, 1523 m," 47° 35,193′ / 15° 02,340′"
344,Galmihornhütte,472, Sommer , +41 79 432 12 49, 24, 2113 m, 661.750/148.980
345,Cabane de Prafleuri,473, Estelle GABRIEL et Antoine PELLISSIER, +41 27 281 17 80, 59, 2662 m," 46.074749998679216, 7.378838159179622"
346,Burghütte,474," Johannes Andenmatten, Amadeo Rüedi, Raphael Imsand", +41 27 971 40 27, 32, 1750 m, 653.527 / 144.645
347,"Martin-Busch-Hütte, DAV Sektion Berlin",476, Michael und Peter Scheiber, 00436643043151, 90, 2501m, 46° 48′ 4″ N / 10° 53′ 13″ O Koordinaten
348,Capanna Alp da Canaa,477, Patriziato di Lodano, -, 20, 1843 m, 692.275 / 122.715
349,"Capanna Grossalp, UTOE Locarno",478, Daniel Verdon, 0917541680, 30, 1906 m, 679.530 / 129.985
350,Capanna Alpe Nimi,479, Pietro Zanoli, 0041 79 230 48 79, 18, 1718 m, 702.480 / 123.160
351,Rifugio Alpe Masnée,480, Patriziato di Maggia, +41 79 240 08 31, 16, 2063 m, 702.050 / 125.857
352,Rifugio Alpe Spluga,481, Patriziato di Giumaglio, -, 24, 1838 m, 695.550 / 130.080
353,Ostello Fusio,482, Felicitas Tuena, 0041 79 458 00 55, 28, 1289 m," 46°26'39.8""N 8°39'49.4""E"
354,Rifugio Ribia,483, Società Escursionistica Isorno Melezza, -, 12, 1996 m, 685.062 / 122.813
355,Rifugio la Reggia,484, Dino Baccalà, +41 79 337 95 00, 14, 1410 m," 46.28182451, 8.48197944"
356,"Bonn-Matreier-Hütte, Alpenverein Matrei in Osttirol | DAV Sektion Bonn",485, Andreas Rainer, 00436643481006, 44, 2750 m, Längengrad
357,"Sardonahütte SAC, SAC Zindelspitz",486, Helen und Beat Jäger, 081 306 13 88, 44, 2158 m, 739910 / 197680
358,"Tschiervahütte SAC, SAC Bernina",487, Caroline Zimmermann, +41 81 842 63 91, 90, 2583 m, 787725/142090
359,"E.T.-Compton Hütte, Alpenverein Austria",488, -Andreas Spivey Waldschenke 145 9640-Kötschach, +436767506886, 21, 1585m, 5173077/359116
360,"Cabane de Tracuit CAS, CAS Chaussy",494, Anne-Lise Bourgeois et Adrien Theytaz, +41 27 475 15 00, 116, 3256 m, 618.603 / 108.788
